country,Lat,Long,suicides_no,population,suicides100k pop
Antigua and Barbuda,17.32766667,-61.639,0,1590,0
Antigua and Barbuda,17.32866667,-61.638,0,6968,0
Antigua and Barbuda,17.32966667,-61.637,0,6556,0
Antigua and Barbuda,17.33066667,-61.636,0,8196,0
Antigua and Barbuda,17.33166667,-61.635,0,1094,0
Antigua and Barbuda,17.33266667,-61.634,0,7780,0
Antigua and Barbuda,17.33366667,-61.633,0,7327,0
Antigua and Barbuda,17.33466667,-61.632,0,12835,0
Antigua and Barbuda,17.33566667,-61.631,0,8584,0
Antigua and Barbuda,17.33666667,-61.63,0,4157,0
Antigua and Barbuda,17.33766667,-61.629,0,1575,0
Antigua and Barbuda,17.33866667,-61.628,0,7113,0
Antigua and Barbuda,17.33966667,-61.627,0,6444,0
Antigua and Barbuda,17.34066667,-61.626,0,11778,0
Antigua and Barbuda,17.34166667,-61.625,0,8358,0
Antigua and Barbuda,17.34266667,-61.624,0,3748,0
Antigua and Barbuda,17.34366667,-61.623,0,1110,0
Antigua and Barbuda,17.34466667,-61.622,0,7902,0
Antigua and Barbuda,17.34566667,-61.621,0,7098,0
Antigua and Barbuda,17.34666667,-61.62,0,13374,0
Antigua and Barbuda,17.34766667,-61.619,0,8571,0
Antigua and Barbuda,17.34866667,-61.618,0,4256,0
Antigua and Barbuda,17.34966667,-61.617,0,1573,0
Antigua and Barbuda,17.35066667,-61.616,0,7239,0
Antigua and Barbuda,17.35166667,-61.615,0,6319,0
Antigua and Barbuda,17.35266667,-61.614,0,12202,0
Antigua and Barbuda,17.35366667,-61.613,0,8485,0
Antigua and Barbuda,17.35466667,-61.612,0,3847,0
Antigua and Barbuda,17.35566667,-61.611,0,1107,0
Antigua and Barbuda,17.35666667,-61.61,1,12530,7.98
Antigua and Barbuda,17.35766667,-61.609,0,8013,0
Antigua and Barbuda,17.35866667,-61.608,0,6962,0
Antigua and Barbuda,17.35966667,-61.607,0,13860,0
Antigua and Barbuda,17.36066667,-61.606,0,8555,0
Antigua and Barbuda,17.36166667,-61.605,0,4400,0
Antigua and Barbuda,17.36266667,-61.604,0,1568,0
Antigua and Barbuda,17.36366667,-61.603,0,7330,0
Antigua and Barbuda,17.36466667,-61.602,0,6267,0
Antigua and Barbuda,17.36566667,-61.601,0,8564,0
Antigua and Barbuda,17.36666667,-61.6,0,3988,0
Antigua and Barbuda,17.36766667,-61.599,0,1094,0
Antigua and Barbuda,17.36866667,-61.598,0,8108,0
Antigua and Barbuda,17.36966667,-61.597,0,6910,0
Antigua and Barbuda,17.37066667,-61.596,0,14278,0
Antigua and Barbuda,17.37166667,-61.595,0,8537,0
Antigua and Barbuda,17.37266667,-61.594,0,4587,0
Antigua and Barbuda,17.37366667,-61.593,0,1567,0
Antigua and Barbuda,17.37466667,-61.592,0,7404,0
Antigua and Barbuda,17.37566667,-61.591,0,6274,0
Antigua and Barbuda,17.37666667,-61.59,0,12782,0
Antigua and Barbuda,17.37766667,-61.589,0,8599,0
Antigua and Barbuda,17.37866667,-61.588,0,4158,0
Antigua and Barbuda,17.37966667,-61.587,0,1069,0
Antigua and Barbuda,17.38066667,-61.586,0,8199,0
